Selected,Mass,SemiMajorAxis,StarMass,System,Planet,PlanetSolarMass,q,RE_Median,RE_upper,RE_lower,s_Median,s_upper,s_lower
True,6.1,0.204,0.34,GJ 357,GJ 357 d,1.83e-05,5.382352941176471e-05,305080752241.5036,349872310437.7283,255611628325.59772,0.10003222624306193,0.08722584188627101,0.11939169994156897
True,6.04,0.22,0.31,Gliese 581,Gliese 581 d,1.812e-05,5.8451612903225805e-05,291310539127.79443,334080372592.041,244074267903.7269,0.11297726559847125,0.09851362381849413,0.13484202342729693
True,16.0,0.283,0.62,GJ 2056,GJ 2056 b,4.8e-05,7.741935483870968e-05,411975315296.74506,472460993842.3212,345173139895.7348,0.10276371975799875,0.08960764253587697,0.12265182586674098
True,20.0,0.291,0.6,GJ 96,GJ 96 b,6e-05,0.0001,405276083215.26807,464778189242.9361,339560194443.4374,0.1074154096709164,0.09366381107362613,0.1282037683473054
True,15.0,0.3,0.65,BD-11 4672,BD-11 4672 c,4.5e-05,6.923076923076924e-05,421824721413.01526,483756476920.22797,353425455772.5063,0.10639318293291307,0.09277245244681379,0.12698370764727265
True,7.6,0.309,0.43,GJ 180,GJ 180 d,2.28e-05,5.3023255813953486e-05,343091199147.0897,393463401589.55756,287458646387.32513,0.13473284394459156,0.11748399674963428,0.16080801038477946
True,7.0,0.33,0.4,Gliese 163,Gliese 163 f,2.1000000000000002e-05,5.25e-05,330906536277.04694,379489802406.6369,277249737782.22046,0.1491877518692469,0.13008834997129465,0.1780604108804963
True,19.0,0.335,0.66,HIP 71135,HIP 71135 b,5.7e-05,8.636363636363636e-05,425057142027.9158,487463477314.4925,356133736418.6543,0.11790224227131334,0.10280809223825191,0.14072014250178833
True,7.3,0.339,0.58,GJ 229,GJ 229 c,2.19e-05,3.775862068965518e-05,398464235332.06244,456966234736.6719,333852893944.99713,0.1272726030889,0.11097883522567806,0.15190397144466505
True,4.8,0.35,0.7,HD 20794,HD 20794 d,1.44e-05,2.0571428571428573e-05,437748201097.4197,502017821126.501,366766928614.8119,0.11961020912207238,0.10429740075478244,0.1427586562229614
True,667.0,0.36,0.49,HIP 79431,HIP 79431 b,0.002001,0.0040836734693877556,366246421545.411,420018243544.2771,306859228226.6899,0.14704615945148974,0.12822092975451144,0.17550435100918316
True,10.8,0.3753,0.81,HD 219134,HD 219134 g,3.24e-05,3.9999999999999996e-05,470888256272.6713,540023455985.49915,394533293434.3156,0.11922992762191625,0.1039658038759497,0.14230477794327934
True,54.0,0.435,0.7,Gliese 221,Gliese 221 c,0.000162,0.00023142857142857145,437748201097.4197,502017821126.501,366766928614.8119,0.14865840276600426,0.12962676950951532,0.1774286155913949
True,11.0,0.439,0.77,HD 103949,HD 103949 b,3.3e-05,4.2857142857142856e-05,459114186581.54065,526520732736.5747,384668399947.405,0.14304358401084266,0.12473077437522967,0.170727147662313
True,117.6,0.477,0.7,HD 93083,HD 93083 b,0.0003528,0.000504,437748201097.4197,502017821126.501,366766928614.8119,0.16301162786065293,0.14214245760008923,0.19455965433815026
True,264.0,0.492,0.62,HIP 34222,HIP 34222 b,0.0007920000000000001,0.0012774193548387098,411975315296.74506,472460993842.3212,345173139895.7348,0.1786563608513618,0.15578431140512886,0.2132321495633801
True,4418.0,0.5,0.595,FN Lyr,FN Lyr b,0.013254,0.02227563025210084,403583900111.76483,462837562022.90845,338142400382.90247,0.18533641017597405,0.16160916353593435,0.22120500465730839
True,9.4,0.528,0.82,HD 216520,HD 216520 c,2.82e-05,3.4390243902439025e-05,473786057508.3323,543346708619.6326,396961213540.6122,0.16671559306117853,0.14537223159460436,0.19898045669778824
