Selected,Mass,SemiMajorAxis,StarMass,System,Planet,PlanetSolarMass,q,RE_Median,RE_upper,RE_lower,s_Median,s_upper,s_lower
True,235.0,1.88,1.25,HD 156411,HD 156411 b,0.000705,0.000564,584965639351.1304,670849531682.1898,490112924170.0006,0.48078628245196264,0.41923477892357325,0.5738339905686987
True,569.0,1.92,1.02,HD 45350,HD 45350 b,0.001707,0.0016735294117647059,528415363293.6168,605996617839.6561,442732327265.3472,0.5435636023441823,0.4739751839372265,0.6487607538849117
True,1783.0,1.98,1.09,HD 132406,HD 132406 b,0.0053490000000000005,0.0049073394495412846,546246414103.67883,626445600276.6418,457672056824.91125,0.5422520051543114,0.4728315008123087,0.6471953201840085
True,299.0,2.02,1.11,HD 10647,HD 10647 b,0.000897,0.0008081081081081081,551235069374.828,632166683409.1255,461851797066.28864,0.5482000936531745,0.47801809963563907,0.6542945563397311
True,1430.0,2.03,1.22,HD 213240,HD 213240 A b,0.00429,0.0035163934426229513,577903421031.7164,662750447678.7748,484195851031.32135,0.5254910793555568,0.4582163520897629,0.627190612712584
True,1630.0,2.03,1.29,HD 13908,HD 13908 c,0.00489,0.0037906976744186047,594251388552.4913,681498602471.9907,497892980617.82294,0.5110347208795804,0.44561073402011375,0.6099364809369129
True,238.0,2.05,1.22,HD 187085,HD 187085 b,0.000714,0.0005852459016393443,577903421031.7164,662750447678.7748,484195851031.32135,0.5306683313689121,0.4627307989083813,0.6333698305718213
True,251.0,2.07,1.11,HD 197037,HD 197037 b,0.000753,0.0006783783783783783,551235069374.828,632166683409.1255,461851797066.28864,0.5617694029020154,0.48985023081473905,0.6704899661501204
True,604.0,2.07,1.1,HD 190647,HD 190647 b,0.001812,0.0016472727272727273,548746410753.54614,629312643174.4622,459766676724.02325,0.5643171230151813,0.492071785208835,0.6735307525717593
True,366.0,2.071,1.51,HD 5319,HD 5319 c,0.001098,0.0007271523178807947,642930196412.9108,737324369421.7098,538678475116.3446,0.48188216246865617,0.420190361545819,0.5751419588409145
True,200.0,2.075,1.07,HD 34445,HD 34445 b,0.0006000000000000001,0.0005607476635514019,541211777526.6759,620671784922.942,453453791188.61633,0.573555485271315,0.5001274284320856,0.6845570369589101
True,375.0,2.09,1.07,HD 141399,HD 141399 d,0.0011250000000000001,0.0010514018691588785,541211777526.6759,620671784922.942,453453791188.61633,0.5777016695021918,0.5037428074327994,0.68950564204536
True,1516.0,2.15,1.34,HD 16175,HD 16175 b,0.004548,0.0033940298507462684,605658406005.7477,694580383352.1394,507450339724.03503,0.5310498445860606,0.46306346981661095,0.633825178945603
True,369.0,2.15,1.06,HD 28254,HD 28254 b,0.0011070000000000001,0.0010443396226415096,538676813813.0806,617764641142.6969,451329874167.24536,0.5970830637852549,0.520642945485932,0.7126379634741575
True,2028.0,2.16,1.15,HD 10697,HD 10697 b,0.006084,0.005290434782608696,561079330650.9862,643456266288.2042,470099802343.4931,0.5759092530315013,0.5021798607551268,0.6873663349692681
True,1557.0,2.2,0.98,HD 2039,HD 2039 b,0.004671,0.004766326530612245,517950656520.134,593995496464.4424,433964482297.5257,0.6354170563619189,0.5540693211744716,0.7583908244387293
True,353.0,2.2,1.03,HD 9174,HD 9174 b,0.001059,0.0010281553398058252,530999316909.63306,608959944155.909,444897290431.5088,0.619802457415885,0.54045374357576,0.7397542951712212
True,213.0,2.24,1.14,HD 170469,HD 170469 b,0.000639,0.0005605263157894738,558634528909.5428,640652521943.2845,468051427447.7576,0.5998529762579903,0.5230582465989809,0.7159439436690366
True,667.0,2.25,1.09,HD 159868,HD 159868 b,0.002001,0.0018357798165137614,546246414103.67883,626445600276.6418,457672056824.91125,0.6161954604026265,0.5373085236503508,0.7354492274818278
True,1897.0,2.28,1.54,HD 224538,HD 224538 b,0.005691,0.003695454545454545,649285509341.5065,744612761106.6836,544003268221.97815,0.5253197294560166,0.4580669388475924,0.6269861010610969
True,436.0,2.31,1.23,HD 30562,HD 30562 b,0.0013080000000000001,0.0010634146341463415,580267044070.1705,665461094769.3953,486176210425.2462,0.5955368637828328,0.5192946940073725,0.7107925237226691
True,512.0,2.31,1.19,HD 221585,HD 221585 b,0.001536,0.0012907563025210086,570753825093.4863,654551157388.4957,478205568634.8939,0.6054631618552564,0.5279502017242295,0.7226398817742008
True,667.0,2.335,1.56,HD 10442,HD 10442 b,0.002001,0.0012826923076923078,653488048420.4766,749432311492.8062,547524361733.07306,0.5345321249393419,0.46609993963145785,0.6379813932643882
True,4132.0,2.38,1.02,HD 217786,HD 217786 b,0.012396,0.012152941176470589,528415363293.6168,605996617839.6561,442732327265.3472,0.6737923820724759,0.587531738422187,0.8041930178365052
True,1179.0,2.39,1.13,KELT-6,KELT-6 c,0.003537,0.0031300884955752215,556178980631.4286,637836453269.1943,465994048576.1334,0.642847418966494,0.5605484295383053,0.7672592027190138
True,477.0,2.4,1.13,HD 23127,HD 23127 b,0.001431,0.0012663716814159294,556178980631.4286,637836453269.1943,465994048576.1334,0.6455371571211654,0.5628938204568755,0.7704694922701394
True,728.0,2.42,1.09,HD 163607,HD 163607 c,0.002184,0.0020036697247706424,546246414103.67883,626445600276.6418,457672056824.91125,0.6627524507441583,0.5779051676594884,0.7910165024471214
True,17989.0,2.43,1.08,WASP-81,WASP-81 c,0.053967,0.04996944444444444,543734923034.52057,623565375363.8799,455567806337.14343,0.6685649754731186,0.5829735579374014,0.797953938855432
True,270.0,2.45,1.22,HD 148156,HD 148156 b,0.0008100000000000001,0.0006639344262295083,577903421031.7164,662750447678.7748,484195851031.32135,0.634213371636017,0.5530197352807484,0.7569541877565671
True,216.0,2.45,1.13,HD 8535,HD 8535 b,0.000648,0.0005734513274336284,556178980631.4286,637836453269.1943,465994048576.1334,0.6589858478945232,0.5746207750497272,0.7865209400257673
True,899.0,2.47,1.17,HD 196050,HD 196050 A b,0.002697,0.0023051282051282053,565937251001.648,649027420169.6626,474170006451.70166,0.6529098908555482,0.5693226777475474,0.7792690886284733
True,2816.0,2.53,1.27,Upsilon Andromedae,Upsilon Andromedae A d,0.008448,0.006651968503937008,589626793835.7452,676195030789.7456,494018268177.8927,0.6419007543239191,0.5597229593520084,0.7661293278257274
True,400.0,2.56,1.3,HD 216435,HD 216435 b,0.0012000000000000001,0.0009230769230769232,596550241966.5387,684134970546.4135,499819072841.37085,0.6419741109238074,0.5597869246502277,0.7662168813021571
True,509.0,2.6,1.51,kappa CrB,kappa CrB b,0.0015270000000000001,0.0010112582781456954,642930196412.9108,737324369421.7098,538678475116.3446,0.6049703633116881,0.5275204925249296,0.7220517107611674
True,947.0,2.6,1.33,HD 196885,HD 196885 A b,0.002841,0.0021360902255639098,603394254506.6628,691983812082.5798,505553322468.0961,0.6446095759164685,0.5620849905973764,0.7693623940776676
True,1338.0,2.708,1.19,HD 11506,HD 11506 b,0.004014,0.0033731092436974793,570753825093.4863,654551157388.4957,478205568634.8939,0.7097810572744737,0.6189130503329929,0.8471466665993662
True,483.0,2.72,1.221,KOI-2939,KOI-2939 b,0.001449,0.0011867321867321866,578140218182.007,663022011077.8699,484394251306.4088,0.7038178829486688,0.6137132970093082,0.8400294250208786
True,400.0,2.74,1.11,HD 94834,HD 94834 b,0.0012000000000000001,0.001081081081081081,551235069374.828,632166683409.1255,461851797066.28864,0.7435981468364843,0.6484007886146788,0.8875084576093383
True,604.0,2.77,1.69,HD 142245,HD 142245 b,0.001812,0.0010721893491124261,680171925727.1919,780033880867.9432,569881423849.5669,0.6092361178983731,0.5312401341752087,0.72714302693762
True,617.0,2.84,1.39,HIP 114933,HIP 114933 b,0.001851,0.0013316546762589929,616854518289.5901,707420294240.9366,516830992127.5786,0.6887477058395397,0.6005724429556861,0.8220426808379837
True,2225.0,2.86,1.42,HD 86264,HD 86264 b,0.006675,0.004700704225352113,623475686707.6676,715013573971.6628,522378532011.1275,0.6862321900924082,0.5983789700413816,0.8190403313696226
True,2574.0,2.88,1.27,HD 23596,HD 23596 b,0.0077220000000000006,0.006080314960629922,589626793835.7452,676195030789.7456,494018268177.8927,0.7307012539339476,0.6371549893018911,0.8721155984735552
True,324.0,2.95,1.17,HD 73534,HD 73534 b,0.000972,0.0008307692307692308,565937251001.648,649027420169.6626,474170006451.70166,0.779791165191849,0.6799602831397833,0.9307059965400795
True,4513.0,3.02,1.312,HD 8673,HD 8673 b,0.013539,0.010319359756097561,599297226143.1401,687285263357.553,502120631013.123,0.7538574841515356,0.6573466990288505,0.8997533087770181
True,318.0,3.2,1.0,HD 219415,HD 219415 b,0.000954,0.000954,523209173636.30145,600026062206.1102,438370326038.1284,0.9149538810314917,0.7978191184725155,1.0920270729460286
True,3108.0,3.27,1.33,HD 106270,HD 106270 b,0.009324,0.007010526315789474,603394254506.6628,691983812082.5798,505553322468.0961,0.810720505094943,0.7069299689436234,0.9676211648592205
True,168.0,3.48,1.2,HD 94771,HD 94771 b,0.000504,0.00042,573146933388.4791,657295618722.5691,480210632223.9544,0.9083178444885961,0.7920326444932636,1.0841067485317188
True,5626.0,3.69,1.48,HD 38529,HD 38529 A c,0.016878,0.011404054054054055,636511431380.638,729963209677.9431,533300518723.86835,0.8672508492721912,0.756223152232375,1.035091960452673
True,1166.0,3.73,1.04,HIP 56640,HIP 56640 b,0.0034980000000000002,0.0033634615384615387,533570757212.4513,611908919970.6388,447051769329.68964,1.0457825418536968,0.9118987557220337,1.2481753144006205
True,1901.0,3.8,1.3,HIP 67851,HIP 67851 c,0.005703,0.0043869230769230765,596550241966.5387,684134970546.4135,499819072841.37085,0.9529303209025266,0.8309337162776816,1.1373531831828894
True,1011.0,3.9,1.49,HD 18015,HD 18015 b,0.003033,0.002035570469798658,638658187665.3585,732425149920.8574,535099176507.1731,0.91352554939398,0.7965736455459008,1.0903223129033153
True,1052.0,4.1,1.35,HD 13167,HD 13167 b,0.003156,0.0023377777777777776,607914124822.9021,697167283864.4042,509340291665.1561,1.0089419923270497,0.8797746286411618,1.204204926057164
True,725.0,4.6,1.75,HD 145934,HD 145934 b,0.002175,0.0012428571428571428,692140678554.6328,793759870377.3699,579909432423.5951,0.9942326767314678,0.8669484376766827,1.186648881771332
True,753.0,4.6,1.74,HD 4732,HD 4732 c,0.002259,0.0012982758620689657,690160300594.214,791488735907.3616,578250174566.639,0.9970855740639164,0.8694360997130478,1.1900539070823972
True,3528.0,5.0,2.41,HIP 67537,HIP 67537 b,0.010584,0.004391701244813278,812239061421.5789,931490941199.664,680533752307.2369,0.9208962583087388,0.8030007372395943,1.0991194925738872
